U+3400	qiū
U+3401	tiàn
U+3404	kuà
U+3405	wǔ
U+3406	yǐn
U+340C	yí
U+3416	xié
U+341C	chóu
U+3421	nuò
U+3424	dān
U+3428	xù
U+3429	xíng
U+342B	xiōng
U+342C	liú
U+342D	lǐn
U+342E	xiāng
U+342F	yōng
U+3430	xìn
U+3431	zhěn
U+3432	dài
U+3433	wù
U+3434	pān
U+3435	rú
U+3437	mǎ
U+3438	qiàn
U+3439	yì
U+343A	yín
U+343B	nèi
U+343C	chèng
U+343D	fēng
U+3441	zhuō
U+3442	fǎng
U+3443	ǎo
U+3444	wǔ
U+3445	zuò
U+3447	zhòu
U+3448	dòng
U+3449	sù
U+344A	yì
U+344B	qióng
U+344C	kuāng
U+344D	lèi
U+344E	nǎo
U+344F	zhù
U+3450	shū
U+3454	xǔ
U+3457	shēn
U+3458	jiè
U+3459	dié
U+345A	nuó
U+345B	sù
U+345C	yì
U+345D	lòng
U+345E	yìng
U+345F	běng
U+3463	lán
U+3464	miáo
U+3465	yì
U+3466	lì
U+3467	jì
U+3468	yǔ
U+3469	luó
U+346A	chái
U+346E	hún
U+346F	xǔ
U+3470	huì
U+3471	rǎo
U+3473	zhòu
U+3475	hàn
U+3476	xì
U+3477	tài
U+3478	yáo
U+3479	huì
U+347A	jùn
U+347B	mà
U+347C	lüè
U+347D	táng
U+347E	yáo
U+347F	zhào
U+3480	zhāi
U+3481	yǔ
U+3482	zhuó
U+3483	èr
U+3484	rǎn
U+3485	qǐ
U+3486	chì
U+3487	wǔ
U+3488	hàn
U+3489	tǎng
U+348A	sè
U+348C	qióng
U+348D	léi
U+348E	sà
U+3491	kuǐ
U+3492	pú
U+3493	tà
U+3494	shú
U+3495	yāng
U+3496	ǒu
U+3497	tái
U+3499	mián
U+349A	yìn
U+349B	diào
U+349C	yǔ
U+349D	miè
U+349E	jùn
U+349F	niǎo
U+34A0	xiè
U+34A1	yóu
U+34A4	chè
U+34A5	fēng
U+34A6	lěi
U+34A7	lì
U+34A9	luǒ
U+34AB	jì
U+34B0	quán
U+34B2	cái
U+34B3	liǎng
U+34B4	gǔ
U+34B5	mào
U+34B7	guǎ
U+34B8	suì
U+34BB	mào
U+34BC	mán
U+34BD	quān
U+34BE	shì
U+34BF	lí
U+34C1	wǎng
U+34C2	kòu
U+34C3	dù
U+34C4	zhèn
U+34C5	tīng
U+34C8	bìng
U+34C9	huò
U+34CA	dòng
U+34CB	gòng
U+34CC	chēng
U+34CE	qīn
U+34CF	jiǒng
U+34D0	lù
U+34D1	xìng
U+34D3	nán
U+34D4	xiè
U+34D6	bì
U+34D7	jié
U+34D8	sù
U+34DA	gōng
U+34DC	yòu
U+34DD	xíng
U+34DE	qià
U+34DF	pí
U+34E0	diàn
U+34E1	fǔ
U+34E2	luò
U+34E3	qià
U+34E4	qià
U+34E5	tāng
U+34E6	bāi
U+34E7	gān
U+34E8	cí
U+34E9	xuān
U+34EA	lǎng
U+34ED	shé
U+34EF	lí
U+34F0	huà
U+34F1	tóu
U+34F2	piān
U+34F3	dī
U+34F4	ruǎn
U+34F5	è
U+34F6	qiè
U+34F7	yì
U+34F8	zhuō
U+34F9	ruì
U+34FA	jiān
U+34FC	chì
U+34FD	chóng
U+34FE	xī
U+3500	lüè
U+3501	dēng
U+3502	lín
U+3503	jué
U+3504	sù
U+3505	xiào
U+3506	zàn
U+3509	zhǔ
U+350A	zhǎn
U+350B	jiān
U+350C	zòu
U+350D	chuā
U+350E	xiè
U+350F	lì
U+3511	chì
U+3512	xí
U+3513	jiǎn
U+3515	jí
